angulo ocorrencias
3.0	45.0
3.1	35.0
3.2	19.0
3.3	16.0
3.4	20.0
3.5	20.0
3.6	16.0
3.7	15.0
3.8	11.0
3.9	10.0
4.0	8.0
4.1	8.0
4.2	10.0
4.3	8.0
4.4	5.0
4.5	6.0
4.6	7.0
4.7	6.0
4.8	7.0
4.9	8.0
5.0	6.0
5.1	7.0
5.2	13.0
5.3	22.0
5.4	53.0
5.5	68.0
5.6	79.0
5.7	97.0
5.8	117.0
5.9	133.0
6.0	147.0
6.1	155.0
6.2	173.0
6.3	167.0
6.4	194.0
6.5	177.0
6.6	224.0
6.7	219.0
6.8	231.0
6.9	256.0
7.0	236.0
7.1	249.0
7.2	272.0
7.3	248.0
7.4	280.0
7.5	297.0
7.6	306.0
7.7	300.0
7.8	304.0
7.9	314.0
8.0	306.0
8.1	299.0
8.2	297.0
8.3	321.0
8.4	346.0
8.5	339.0
8.6	325.0
8.7	332.0
8.8	334.0
8.9	369.0
9.0	333.0
9.1	354.0
9.2	372.0
9.3	363.0
9.4	380.0
9.5	348.0
9.6	357.0
9.7	363.0
9.8	332.0
9.9	371.0
10.0	349.0
10.1	354.0
10.2	375.0
10.3	355.0
10.4	355.0
10.5	347.0
10.6	371.0
10.7	366.0
10.8	349.0
10.9	363.0
11.0	386.0
11.1	340.0
11.2	366.0
11.3	345.0
11.4	352.0
11.5	358.0
11.6	318.0
11.7	347.0
11.8	316.0
11.9	311.0
12.0	279.0
12.1	300.0
12.2	297.0
12.3	293.0
12.4	281.0
12.5	290.0
12.6	298.0
12.7	306.0
12.8	270.0
12.9	299.0
13.0	262.0
13.1	288.0
13.2	273.0
13.3	257.0
13.4	258.0
13.5	234.0
13.6	235.0
13.7	217.0
13.8	202.0
13.9	193.0
14.0	188.0
14.1	169.0
14.2	200.0
14.3	185.0
14.4	172.0
14.5	179.0
14.6	188.0
14.7	160.0
14.8	182.0
14.9	188.0
15.0	178.0
15.1	158.0
15.2	178.0
15.3	188.0
15.4	163.0
15.5	177.0
15.6	157.0
15.7	167.0
15.8	164.0
15.9	179.0
16.0	148.0
16.1	153.0
16.2	157.0
16.3	159.0
16.4	149.0
16.5	132.0
16.6	146.0
16.7	145.0
16.8	138.0
16.9	144.0
17.0	143.0
17.1	137.0
17.2	119.0
17.3	125.0
17.4	138.0
17.5	131.0
17.6	120.0
17.7	125.0
17.8	117.0
17.9	118.0
18.0	108.0
18.1	123.0
18.2	119.0
18.3	101.0
18.4	103.0
18.5	121.0
18.6	125.0
18.7	101.0
18.8	101.0
18.9	96.0
19.0	106.0
19.1	109.0
19.2	97.0
19.3	87.0
19.4	102.0
19.5	97.0
19.6	92.0
19.7	95.0
19.8	90.0
19.9	89.0
20.0	112.0
20.1	172.0
20.2	475.0
