,angulo,IO_sem,IO_com_al (0.02mm),IO_com_al (0.04mm),IO_com_al (0.06mm),IO_com_al (0.08mm),IO_com_al (0.10mm),IO_com_al (0.12mm),IO_com_al (0.14mm),IO_com_al (0.16mm),IO_com_al (0.18mm)
0,20.3,"[1206, 1234, 1212, 1272, 1268]","[1004, 1018, 1010, 937, 1027]","[831, 748, 879, 819, 866]","[700, 680, 669, 696, 688]","[576, 525, 536, 542, 554]","[509, 503, 504, 518, 507]","[418, 448, 399, 412, 426]","[311, 300, 321, 339, 338]","[278, 266, 291, 271, 285]","[221, 236, 219, 241, 248]"
1,22.6,"[4140, 4379, 4242, 4284, 4220]","[3410, 3434, 3443, 3481, 3338]","[2700, 2685, 2677, 2751, 2804]","[2040, 2141, 2150, 2113, 2125]","[1618, 1640, 1571, 1612, 1605]","[1431, 1455, 1400, 1444, 1450]","[1109, 1096, 1119, 1071, 1117]","[880, 825, 875, 917, 887]","[615, 690, 636, 664, 691]","[512, 467, 498, 480, 502]"
